     r      z          rho        v_phi  sigma_phi    sigma_r    sigma_z
0.0057 0.0001    6404.6750 6.101734e+01  55.684774  61.017551  60.550756
0.0058 0.0001    6203.6890 6.091652e+01  55.636805  60.943349  60.518262
0.0059 0.0001    6011.0780 6.081606e+01  55.595207  60.874640  60.482364
0.0060 0.0001    5826.3860 6.071731e+01  55.559360  60.809954  60.453845
0.0061 0.0001    5649.1880 6.061896e+01  55.529521  60.749528  60.427449
0.0062 0.0001    5479.0880 6.052128e+01  55.507006  60.693662  60.408759
0.0063 0.0001    5315.7150 6.042401e+01  55.489553  60.642474  60.395787
0.0064 0.0001    5158.7270 6.032845e+01  55.476672  60.594761  60.382738
0.0065 0.0001    5007.8100 6.023337e+01  55.467962  60.550173  60.370421
0.0066 0.0001    4862.6740 6.013924e+01  55.465006  60.510948  60.370992
0.0067 0.0001    4723.0440 6.004586e+01  55.466454  60.474866  60.368457
0.0068 0.0001    4588.6600 5.995495e+01  55.470283  60.440532  60.364390
0.0069 0.0001    4459.2770 5.986400e+01  55.478776  60.411907  60.365645
0.0070 0.0001    4334.6660 5.977356e+01  55.491551  60.385773  60.371356
0.0071 0.0001    4214.6070 5.968446e+01  55.507662  60.362933  60.382089
0.0072 0.0001    4098.8940 5.959665e+01  55.526622  60.343453  60.391669
0.0073 0.0001    3987.3320 5.950945e+01  55.548860  60.326499  60.406077
0.0074 0.0001    3879.7360 5.942423e+01  55.572747  60.312258  60.419401
0.0075 0.0001    3775.9310 5.934005e+01  55.599747  60.299811  60.434326
0.0076 0.0001    3675.7520 5.925565e+01  55.630361  60.291112  60.454370
0.0077 0.0001    3579.0420 5.917224e+01  55.662418  60.284239  60.477393
0.0078 0.0001    3485.6510 5.908921e+01  55.698451  60.279458  60.502067
0.0079 0.0001    3395.4380 5.900789e+01  55.735367  60.276850  60.525388
0.0080 0.0001    3308.2690 5.892831e+01  55.773911  60.276468  60.550675
0.0081 0.0001    3224.0180 5.884907e+01  55.814931  60.278634  60.579906
0.0082 0.0001    3142.5620 5.877074e+01  55.857185  60.282444  60.608407
0.0083 0.0001    3063.7870 5.869263e+01  55.901889  60.287992  60.639200
0.0084 0.0001    2987.5830 5.861605e+01  55.947494  60.295355  60.670583
0.0085 0.0001    2913.8470 5.854054e+01  55.994796  60.304835  60.705425
0.0086 0.0001    2842.4790 5.846682e+01  56.042142  60.315801  60.738531
0.0087 0.0001    2773.3860 5.839308e+01  56.092735  60.328924  60.774501
0.0088 0.0001    2706.4770 5.831843e+01  56.147035  60.343603  60.815141
0.0089 0.0001    2641.6670 5.824714e+01  56.199342  60.360123  60.850016
0.0090 0.0001    2578.8750 5.817649e+01  56.253279  60.376636  60.889778
0.0091 0.0001    2518.0220 5.810682e+01  56.308294  60.395759  60.928547
0.0092 0.0001    2459.0350 5.803919e+01  56.362661  60.416802  60.968485
0.0093 0.0001    2401.8420 5.797018e+01  56.421544  60.440695  61.012559
0.0094 0.0001    2346.3770 5.790367e+01  56.479258  60.464906  61.053357
