l,b,gaia_l_median,gaia_l_std,gaia_b_median,gaia_b_std,synth_l_median,synth_l_std,synth_b_median,synth_b_std
6,-4,-5.230161088981102,3.64878621498262,-0.34151362858477036,2.8556158376443426,-5.266982,3.145722166733932,-0.2760021,2.4954801606310477
7,-4,-4.9921984538547735,3.6865658172159335,-0.33402867204035297,2.9082144572406294,-5.0985451,3.095677871106959,-0.28483039,2.5087233670207016
8,-4,-5.162484295283362,3.655872596938163,-0.2990286248286148,2.7534108430564306,-5.1955202,3.0585493601836764,-0.27967052,2.386110612925711
9,-4,-5.0663756508173465,3.6446445742391433,-0.34414421709183607,2.8302502567066936,-4.9743574,3.3382922550036866,-0.28119829,2.5289147707628383
10,-4,-4.91913706429237,3.5317281626844985,-0.3105278940567861,2.692650371204632,-4.53303625,3.578139376906851,-0.36155366,2.486645912051882
-10,-3,-4.463979774560628,3.55731476009128,-0.4799780950804132,2.297071135421208,-3.9426377500000003,4.18264517859269,-0.5031787350000001,2.4871469082611486
-9,-3,-4.575037741348602,3.447156467064069,-0.4703479832558582,2.292816461151543,-4.1988342,3.774785599944351,-0.49320247,2.4396896113132973
-8,-3,-5.085981903652741,3.6892939680423034,-0.36333394414365666,2.4658850176995997,-4.5645494,4.535994199494307,-0.5164805,2.525082192595882
-7,-3,-5.312066170726735,3.536853074736873,-0.37461152415110893,2.361867903367871,-4.9464972,3.9150262099694544,-0.479035175,2.4369777554335394
-6,-3,-5.300480403236797,3.6386117478559,-0.35310929289363757,2.4694413684770193,-5.2328601,3.796793937102959,-0.43206276,2.3829248009328943
-5,-3,-5.411972547576488,3.864928107259129,-0.38636210042999986,2.800159251534435,-5.4953108,3.7219983896970232,-0.370105605,2.4251644126722827
-4,-3,-5.449765416180642,3.9089027117984583,-0.43240730524059523,2.68153912233452,-5.5206838000000005,4.09859901117353,-0.390472675,2.539599364330452
-3,-3,-5.502251544775522,3.7711562916291275,-0.38747975814387936,2.8016969153663553,-5.6355686,3.4970487763351485,-0.37789571,2.586139818555704
-2,-3,-5.525469944946746,3.7852048070516093,-0.4661079532001785,2.997547017208043,-5.6068806,3.5167645527163973,-0.39588234,2.6333095031107927
-1,-3,-5.477803032210664,4.02384127100972,-0.4117572627363361,3.2318717595029773,-5.4987583,3.494900856803933,-0.3452826,2.6375517232779417
0,-3,-5.444459051102628,3.9619223435693836,-0.371762406791487,3.25054490266405,-5.4035109,3.6330259186142504,-0.32210811,2.8364124202066527
1,-3,-5.411884337818342,4.024815156267951,-0.44155483683126695,3.6629734352897616,-5.5515939,3.3335062835375293,-0.29399809,2.695287167500639
2,-3,-5.214498498437079,3.741550333231476,-0.38366499869629633,3.1526163959871654,-5.75653185,3.284735509115214,-0.27343838,2.6816259983403063
3,-3,-5.167566988644413,3.8046883330186523,-0.38552330360889076,3.0016227251631427,-5.5796145,3.1294451579188016,-0.27572054,2.6099893527286526
4,-3,-5.043301840114798,3.936775739441924,-0.43679106467570816,3.022263047536662,-5.600267649999999,3.076855103063899,-0.26968913,2.5540724154417163
