l,b,gaia_median,gaia_std,synth_median,synth_std
4,1,-0.5450993851511567,2.5930709224982618,-0.44151394,2.2999463010890504
5,1,-0.4932898960646992,2.6148914572896857,-0.49639617,2.38858626509755
6,1,-0.3629446463066794,2.3415489032373524,-0.4114701,2.201974364346857
7,1,-0.5819591742000527,3.850498440784977,-0.567977645,2.7453744074070667
8,1,-0.5455963833552903,2.235413004898396,-0.55565976,2.671305592758162
9,1,-0.6079894284618775,2.2821227434074944,-0.56848139,2.708552713844226
10,1,-0.657457175358164,2.457905458769985,-0.57342216,2.5278532325495244
-10,2,-0.5208478956302804,2.7953846900345223,-0.52555203,3.0530512054068994
-9,2,-0.3247111897358561,2.320613899240468,-0.39249914,2.337037552899273
-8,2,-0.4352707120245382,2.839252220802173,-0.55178781,3.3620752024005025
-7,2,-0.3552950316237399,2.850288729898486,-0.60581411,3.38213178620007
-6,2,-0.6744186481004522,3.108695268500781,-0.718836205,3.8424023027418728
-5,2,-0.2977314875184802,2.638097384664852,-0.49319779,2.718867501604832
-4,2,-0.4395101950106119,2.776948601175031,-0.5193670450000001,2.811600926926299
-3,2,-0.2239257773905121,2.601578366897381,-0.28714051,2.46526182880821
-2,2,-0.340125512139482,2.745255657776794,-0.343634415,2.773558353555278
-1,2,-0.3154992595178785,2.832537223951585,-0.34177658,2.806680652093087
0,2,-0.4140651661573213,2.950912306588274,-0.37126236,2.797889357731324
1,2,-0.3563695376536495,3.1462672455372167,-0.3615456999999999,3.0092418011685056
2,2,-0.3596467366262352,2.8642468897988547,-0.35238071,2.705523834194706
3,2,-0.3013952751967212,2.99800126380632,-0.357304865,2.698999672800817
4,2,-0.4284173440438497,2.8533042708918037,-0.33623275,2.578292401652883
5,2,-0.3619433099124748,2.9293868674948675,-0.32864322,2.3388325683605045
6,2,-0.4012764659658738,2.6965066794603234,-0.348503735,2.630316639730983
7,2,-0.3878608232305151,2.4264908861644856,-0.36084764,2.294111642413151
8,2,-0.3973336496802764,2.3545904120419023,-0.38754945,2.345726306496293
9,2,-0.4688395724297384,2.2628748184253906,-0.429151955,2.5665838879188407
10,2,-0.356757004959185,2.7065480133000084,-0.58039696,2.94186664191317
-10,3,-0.3041390711842893,2.704941249327064,-0.299347155,2.594143108119077
-9,3,-0.2829046089916204,5.526600180440569,-0.30159669,2.5200728213133594
-8,3,-0.272428289597125,2.530143799808968,-0.34042185,2.510804433812458
-7,3,-0.229952484676047,3.450596402666714,-0.45788283,2.784103400961181
-6,3,-0.2950862029048425,2.317068749614669,-0.28893783,2.556736596050278
-5,3,-0.3647563918348318,3.084747051927108,-0.393200215,3.5981305166920485
-4,3,-0.230757753898348,2.77976808547967,-0.281607555,2.636246166844461
-3,3,-0.1900561382095617,2.577968275088736,-0.249543125,2.611340483160156
-2,3,-0.2413079282860066,2.810546783047134,-0.28238364,2.6545894026718257
-1,3,-0.1721994913116836,2.7566345308692424,-0.294629885,2.63633772290408
0,3,-0.1458080224000079,2.8340015505465352,-0.3617822,2.854815990419394
1,3,-0.2380210093570777,2.826818992819652,-0.3568026549999999,2.8320869888366675
2,3,-0.1570152092972799,2.8455662515174494,-0.4432079,3.0565715695088773
3,3,-0.2957458361720062,3.0627715575467627,-0.33255641,3.0151115444222585
4,3,-0.2828961962715287,3.220308427845936,-0.30473392,2.5330821486288624
5,3,-0.2929352965580356,3.0331917772570365,-0.3167055,2.450983133943684
6,3,-0.3356686496197818,2.972400235201205,-0.344204745,2.604541124791576
7,3,-0.3778317627677576,2.786542806700423,-0.375372325,2.5528957951534057
8,3,-0.3745665835175718,2.7680052262236945,-0.41880207,2.4611364406058294
9,3,-0.3856603017899296,2.58818636800472,-0.45747736,2.681857478911899
10,3,-0.4498776204717428,2.623773007177716,-0.48783673,2.7796408488615456
-10,4,-0.273034861692816,2.578994660017155,-0.280203395,2.501173207903211
-9,4,-0.2652768691490023,2.562172159831432,-0.29728305,8.824991047865845
-8,4,-0.2118230931530951,2.805077150185693,-0.29601815,2.4601440307562337
-7,4,-0.2718135714163102,2.700449994766743,-0.274412535,2.458193422450552
-6,4,-0.2123044984132479,2.748435338960453,-0.262713705,2.561912536442899
-5,4,-0.2698936111917704,2.456037257261333,-0.32699221,2.7454991055700546
-4,4,-0.2177971119476288,3.2069420274024854,-0.25838068,2.584772752096672
-3,4,-0.2110105670916995,2.528291102396579,-0.25395389,2.613617705608674
-2,4,-0.2152375473526561,2.605769927584679,-0.26261276,2.7618837040388104
-1,4,-0.2254467505818885,2.678419138703926,-0.26301072,2.7328366892382365
0,4,-0.0908234744995885,2.767623800118343,-0.523248105,4.642958476472325
1,4,6.443085477663386e-05,2.696848452654635,-0.5113468699999999,3.544825095324834
2,4,-0.1704163973432706,2.8411026527622187,-0.49893478,3.555806914628976
3,4,-0.2942226641035055,2.842582147406751,-0.323184495,2.701390824301161
4,4,-0.3889420567075956,4.404840759578427,-0.33070287,2.742013357815579
5,4,-0.4206911786756283,3.161069666825276,-0.32490312,2.679495183817291
6,4,-0.3356868939705932,3.495950299144991,-0.36449285,2.536703277156584
7,4,-0.3663705930668547,3.062813508081574,-0.39265035,2.551475750826812
8,4,-0.4385948399288285,2.6622918067210963,-0.38632107,2.5280561371844943
9,4,-0.4170310093334556,2.666886294219621,-0.42738104,2.6456972670672343
10,4,-0.4592874559244555,2.634766657215108,-0.45063465,2.6206220947361265
-10,5,-0.2255433282379733,2.71469385431216,-0.26239567,2.593644551262436
-9,5,-0.1694812248514494,2.5334201455640244,-0.27897696,2.6102021550902763
-8,5,-0.1663921144098989,2.636506527806513,-0.207981715,2.792091892111665
-7,5,-0.229701184845675,2.5618571699433668,-0.20766795,2.445867922816583
-6,5,-0.1654065890115948,2.664525939006977,-0.215856125,2.583745841276241
-5,5,-0.1303698388337348,2.6288378907384047,-0.287389585,2.8252693274895533
-4,5,-0.1285618342853975,2.816824060443296,-0.25302729,2.828082343341236
-3,5,-0.1571359126219355,2.778063867918879,-0.2871160499999999,2.655286615023412
-2,5,-0.1380909877623814,2.70031068778277,-0.26075348,2.860176658946907
-1,5,-0.1638640777020119,2.631820290574692,-0.29071113,3.0987177299373148
0,5,-0.2406008944709948,3.039956543070089,-0.30188557,2.743199902577232
1,5,-0.270083758976116,2.8293695999904074,-0.310399005,2.904818929534964
