l,b,gaia_median,gaia_std,synth_median,synth_std
-1,1,-4.23318780394745,5.2044719794306475,-2.595217402827844,4.334448232779668
0,1,-5.145108773459139,4.387621824733108,-3.102497295396152,3.973609489201373
1,1,-4.476931467154279,4.2047534854121915,-2.776579873078682,3.7976506228103797
2,1,-4.375113237284709,4.035169713466208,-3.380843864479435,3.9342125924329596
3,1,-3.2412796043440952,5.842588428898044,-2.1757228353081834,4.722670710172396
4,1,-3.3615807453740736,3.7923993179856983,-2.91217820416289,3.751647574464424
5,1,-3.4429468510256553,3.949631638267394,-2.5505420442357485,3.9081046242943698
6,1,-4.081944711681208,3.8844181163392104,-3.105536237280038,3.541463746474043
7,1,-2.834629360695804,4.575905079120409,-2.2574787575684754,4.863136842701693
8,1,-2.502346191945255,3.735764456854689,-2.3843281428778305,4.646782611413839
9,1,-2.8762202097847056,4.0157523540060565,-2.4737942753758984,4.531155234107143
10,1,-2.348998868456707,3.4740448951829923,-2.4320677183130828,4.423651556089518
-10,2,-4.205109951553128,4.330167260636848,-3.1139066915606217,5.064433139340317
-9,2,-4.9797826613646095,4.513190512857784,-3.6861231676215134,4.032346044962126
-8,2,-4.595771082792999,4.092783724292393,-3.20519185978924,5.834750308885451
-7,2,-4.6303421440895045,9.654290249352796,-2.7009221508233665,5.072248085988458
-6,2,-4.5137180214227275,4.734451062698509,-2.6740060587408694,8.104634996698769
-5,2,-5.109529526278328,3.664069447292906,-3.4854993288237606,4.395440591163566
-4,2,-4.8008549674955585,4.510883599780657,-3.562432150084436,4.492725347137881
-3,2,-5.66338953303671,3.631923588840113,-5.555951580864545,3.6195040530525104
-2,2,-5.627032430028461,3.6758957095764724,-5.133705498381383,3.7434189029234495
-1,2,-5.930765704958601,3.5871900114596458,-5.2745662191199525,3.7815260035696716
0,2,-5.89155124093519,3.598682274634958,-4.888010245810681,3.8766854035748044
1,2,-5.708848638273489,4.231744280147219,-5.062831365819816,3.7837206264904464
2,2,-5.503871757898799,3.891327954131554,-5.004817880646588,3.7161077490532044
3,2,-5.559082528871024,4.042060651719437,-4.693266407134922,3.842519563767435
4,2,-5.082416534392387,3.8852966872903933,-4.5192744328378005,3.7447479971859856
5,2,-5.086783217650053,4.036562730738387,-4.310717124775557,3.465538330456265
6,2,-4.906898867798571,3.975663304009097,-4.0753151414050555,3.6402114935966057
7,2,-4.720002600009518,3.756888973396749,-3.840747353617863,3.664859332814776
8,2,-4.713353363097935,3.597296558018887,-3.7625475673356745,3.5204343375886133
9,2,-4.767955544727937,3.6827615072089626,-3.465552327708249,3.697820736518508
10,2,-4.567416363557539,3.792082973548079,-2.819895598269635,5.5906634684185486
-10,3,-4.708592587385118,3.9093514210580884,-4.196609156363696,4.193624554668895
-9,3,-5.057837835712997,5.3885515166725195,-4.488831862060601,5.058809751190357
-8,3,-5.20245394424997,3.6924923596298167,-5.007930460428322,4.173116449072739
-7,3,-5.449892326070228,5.984187965425325,-4.800523720647214,4.719316730319191
-6,3,-5.5022449865177965,3.5606118127073403,-5.6994400374650995,4.513256603345565
-5,3,-5.72703580989991,4.227997075313499,-4.960345721921451,4.8721644223266
-4,3,-5.714936994009805,3.6725581647363237,-5.778282149865927,3.823662546329346
-3,3,-5.659930000490299,3.490567715902849,-5.80492338425324,3.787684806292667
-2,3,-5.680079338753383,3.6788455939764413,-5.716589320911409,3.61369920275808
-1,3,-5.687004716646733,3.491994801372072,-5.650927210813132,3.629652534237171
0,3,-5.89858793452199,3.500856264112984,-5.489045250481414,3.961595135775264
1,3,-5.7489789974298775,3.6556959574675973,-5.533705943620385,4.497393423265399
2,3,-5.733348801456627,3.530752866887765,-5.016736037846839,4.083345537797249
3,3,-5.719963479934249,3.9629980050196267,-5.159620745873897,4.130879811893466
4,3,-5.40161555979218,4.201981639067861,-4.950977810826835,3.4076459203226004
5,3,-5.272569851699923,4.218973685102748,-4.853321407892153,3.2629504668259575
6,3,-5.124336742719238,4.027299478699164,-4.452047409351768,3.7845506055378717
7,3,-5.06458059018026,3.9526869257145663,-4.0911028149063435,3.821727775526035
8,3,-4.914530002862184,4.664600896766874,-3.966381694725006,3.8794404614898492
9,3,-4.815672132689217,3.6002144114282815,-3.833309176770502,4.446326352540574
10,3,-5.0449258019815,3.891621195070476,-3.7207478154818308,4.412177236643906
-10,4,-4.877498434273397,3.607131132022591,-5.033255527228121,3.786520142315886
-9,4,-5.024257837323755,3.4994040964825195,-5.093334658420284,4.336999834587576
-8,4,-5.212104903701725,3.946024495528536,-5.708181636211693,3.7713659317384582
-7,4,-5.309987175760322,3.615820989134845,-5.726698196343168,3.802370581121816
-6,4,-5.367795676790026,3.8084636600871438,-5.92237955387853,3.61258577605949
