field,RAdeg,DEdeg,GLON,GLAT,sigma18,sigma21,N18,N21
BLG653.19,264.227,-28.466,-0.611,1.87,66.8,730.5,10961,119867
BLG653.20,264.051,-28.466,-0.694,2.001,78.8,847.8,12927,139082
BLG653.21,263.875,-28.466,-0.778,2.131,89.2,965.2,14640,158418
BLG653.22,263.699,-28.466,-0.861,2.261,90.3,1044.9,14817,171457
BLG653.23,263.524,-28.466,-0.945,2.391,83.8,981.0,13750,160972
BLG653.24,263.348,-28.466,-1.029,2.521,92.3,1107.8,15145,181778
BLG653.25,263.172,-28.466,-1.113,2.65,94.2,1436.0,15457,235625
BLG653.26,264.41,-28.144,-0.253,1.906,67.6,772.2,11095,126741
BLG653.27,264.235,-28.144,-0.336,2.037,63.7,733.1,10452,120294
BLG653.28,264.059,-28.144,-0.419,2.168,71.9,793.2,11798,130156
BLG653.29,263.883,-28.144,-0.503,2.298,78.4,879.9,12864,144382
BLG653.30,263.708,-28.144,-0.587,2.429,102.0,1220.9,16737,200337
BLG653.31,263.532,-28.144,-0.67,2.559,108.6,1926.5,17824,316196
BLG653.32,263.356,-28.144,-0.755,2.689,102.8,1824.2,16868,299341
BLG654.01,264.433,-30.317,-2.078,0.726,12.7,155.2,2043,24972
BLG654.02,264.256,-30.317,-2.16,0.855,19.6,247.4,3155,39827
BLG654.03,264.078,-30.317,-2.242,0.985,53.8,599.4,8656,96448
BLG654.04,263.9,-30.317,-2.325,1.114,82.1,846.7,13156,135679
BLG654.05,263.722,-30.317,-2.408,1.243,106.8,1097.0,17189,176558
BLG654.06,263.544,-30.317,-2.491,1.372,116.7,1473.2,18575,234507
BLG654.07,263.367,-30.317,-2.575,1.501,123.6,1686.5,19907,271624
BLG654.08,264.603,-29.995,-1.728,0.774,26.5,316.3,4268,50943
BLG654.09,264.425,-29.995,-1.81,0.904,30.1,343.1,4845,55233
BLG654.10,264.247,-29.995,-1.893,1.034,34.7,386.0,5515,61353
BLG654.11,264.07,-29.995,-1.975,1.164,43.0,485.5,6838,77206
BLG654.12,263.892,-29.995,-2.058,1.293,82.7,815.7,13148,129684
BLG654.13,263.714,-29.995,-2.142,1.423,122.3,1493.5,19443,237445
BLG654.14,263.536,-29.995,-2.225,1.553,79.0,750.9,12565,119439
BLG654.15,263.358,-29.995,-2.309,1.682,88.1,848.1,14009,134867
BLG654.16,263.18,-29.995,-2.393,1.811,132.7,1783.7,21274,285962
BLG654.17,264.603,-29.696,-1.475,0.934,51.0,563.3,8190,90460
BLG654.18,264.425,-29.696,-1.557,1.064,65.1,719.4,10451,115500
BLG654.19,264.247,-29.696,-1.64,1.195,63.3,723.4,10058,114954
BLG654.20,264.07,-29.696,-1.723,1.325,79.5,811.5,12633,128954
BLG654.21,263.892,-29.696,-1.807,1.455,112.7,1317.0,17913,209342
BLG654.22,263.714,-29.696,-1.89,1.585,120.9,1495.8,19207,237639
BLG654.23,263.536,-29.696,-1.974,1.715,134.5,1744.3,21378,277251
BLG654.24,263.358,-29.696,-2.058,1.844,109.5,1354.2,17563,217208
BLG654.25,263.18,-29.696,-2.142,1.974,100.3,1315.4,16169,212063
BLG654.26,264.433,-29.375,-1.282,1.23,62.4,660.3,10023,106062
BLG654.27,264.256,-29.375,-1.365,1.361,77.9,808.5,12373,128416
BLG654.28,264.078,-29.375,-1.448,1.492,91.2,921.8,14699,148571
BLG654.29,263.9,-29.375,-1.532,1.622,92.9,905.6,14759,143873
BLG654.30,263.722,-29.375,-1.616,1.753,96.6,926.2,15346,147146
BLG654.31,263.544,-29.375,-1.7,1.883,125.5,1720.5,19933,273270
BLG654.32,263.367,-29.375,-1.784,2.013,108.1,1451.8,17431,234108
BLG655.01,264.461,-31.547,-3.104,0.047,10.5,74.4,1724,12217
BLG655.02,264.281,-31.547,-3.186,0.176,11.2,80.0,1843,13167
BLG655.03,264.101,-31.547,-3.269,0.306,12.9,98.7,2122,16241
BLG655.04,263.921,-31.547,-3.352,0.435,10.9,88.9,1793,14628
BLG655.05,263.741,-31.547,-3.435,0.564,15.3,107.6,2516,17697
BLG655.06,263.561,-31.547,-3.518,0.693,17.2,125.8,2828,20686
BLG655.07,263.381,-31.547,-3.601,0.822,12.7,104.7,2087,17212
BLG655.08,264.633,-31.226,-2.754,0.095,11.2,79.2,1846,13054
BLG655.09,264.453,-31.226,-2.836,0.225,10.4,69.2,1707,11352
BLG655.10,264.273,-31.226,-2.919,0.355,13.0,95.1,2141,15663
BLG655.11,264.093,-31.226,-3.002,0.485,19.0,138.4,3128,22790
BLG655.12,263.912,-31.226,-3.085,0.614,25.5,196.9,4200,32431
BLG655.13,263.732,-31.226,-3.168,0.744,21.5,173.1,3540,28504
BLG655.14,263.552,-31.226,-3.252,0.873,36.0,324.7,5925,53442
BLG655.15,263.372,-31.226,-3.335,1.003,47.0,430.7,7735,70888
BLG655.16,263.192,-31.226,-3.419,1.132,58.5,575.2,9619,94582
BLG655.17,264.633,-30.927,-2.501,0.254,13.9,107.4,2292,17715
BLG655.18,264.453,-30.927,-2.584,0.385,17.9,117.9,2951,19437
BLG655.19,264.273,-30.927,-2.667,0.515,16.2,132.6,2670,21861
BLG655.20,264.093,-30.927,-2.75,0.646,24.3,224.2,4003,36936
BLG655.21,263.912,-30.927,-2.833,0.776,35.5,313.7,5848,51681
BLG655.22,263.732,-30.927,-2.917,0.906,53.5,503.0,8809,82828
BLG655.23,263.552,-30.927,-3.0,1.036,76.4,768.0,12577,126442
BLG655.24,263.372,-30.927,-3.084,1.165,84.7,924.7,13940,152195
BLG655.25,263.192,-30.927,-3.168,1.295,87.8,1080.4,14447,177778
BLG655.26,264.461,-30.605,-2.309,0.551,21.6,193.3,3563,31891
BLG655.27,264.281,-30.605,-2.392,0.682,24.6,236.0,4057,38926
BLG655.28,264.101,-30.605,-2.475,0.813,51.1,465.7,8424,76777
BLG655.29,263.921,-30.605,-2.559,0.943,85.0,713.4,14010,117585
BLG655.30,263.741,-30.605,-2.642,1.074,106.3,1266.0,17516,208617
BLG655.31,263.561,-30.605,-2.726,1.204,124.4,1616.0,20494,266236
BLG655.32,263.381,-30.605,-2.81,1.334,120.6,1505.8,19858,247962
BLG657.01,275.495,-30.932,2.108,-7.847,62.5,635.3,10553,107277
BLG657.02,275.316,-30.932,2.037,-7.711,67.4,665.2,11373,112247
BLG657.03,275.137,-30.932,1.967,-7.574,70.3,697.6,11862,117714
BLG657.04,274.958,-30.932,1.896,-7.437,69.3,726.0,11688,122449
BLG657.05,274.779,-30.932,1.825,-7.301,70.4,759.8,11871,128119
BLG657.06,274.6,-30.932,1.754,-7.165,74.8,798.6,12607,134599
BLG657.07,274.422,-30.932,1.682,-7.029,78.0,852.4,13140,143599
BLG657.08,275.666,-30.611,2.464,-7.832,65.5,655.1,11065,110672
BLG657.09,275.487,-30.611,2.393,-7.695,67.9,671.6,11460,113353
BLG657.10,275.308,-30.611,2.323,-7.558,70.5,720.5,11893,121549
BLG657.11,275.129,-30.611,2.252,-7.421,72.3,748.2,12194,126193
BLG657.12,274.95,-30.611,2.181,-7.284,77.3,800.7,13037,135048
BLG657.13,274.771,-30.611,2.109,-7.147,79.5,837.4,13408,141238
BLG657.14,274.592,-30.611,2.038,-7.01,83.1,881.7,14009,148640
BLG657.15,274.413,-30.611,1.966,-6.874,83.4,904.9,14063,152586
BLG657.16,274.234,-30.611,1.894,-6.737,90.6,987.8,15266,166448
BLG657.17,275.666,-30.312,2.733,-7.696,64.2,678.6,10840,114589
BLG657.18,275.487,-30.312,2.662,-7.559,68.7,697.5,11589,117669
BLG657.19,275.308,-30.312,2.591,-7.421,69.8,739.1,11772,124658
BLG657.20,275.129,-30.312,2.52,-7.284,72.7,795.0,12261,134087
BLG657.21,274.95,-30.312,2.449,-7.147,74.4,819.0,12557,138231
BLG657.22,274.771,-30.312,2.377,-7.009,83.9,882.1,14150,148777
BLG657.23,274.592,-30.312,2.305,-6.872,88.9,940.2,14990,158539
BLG657.24,274.413,-30.312,2.233,-6.735,96.8,1006.2,16315,169588
BLG657.25,274.234,-30.312,2.161,-6.598,100.6,1050.9,16959,177164
BLG657.26,275.495,-29.99,2.954,-7.419,64.4,718.8,10869,121319
BLG657.27,275.316,-29.99,2.883,-7.281,74.6,792.9,12594,133858
BLG657.28,275.137,-29.99,2.811,-7.143,77.8,833.8,13131,140729
BLG657.29,274.958,-29.99,2.74,-7.005,80.2,890.4,13533,150247
BLG657.30,274.779,-29.99,2.668,-6.868,92.1,956.2,15541,161351
BLG657.31,274.6,-29.99,2.596,-6.73,102.2,1037.2,17245,175019
BLG657.32,274.422,-29.99,2.524,-6.593,102.8,1061.8,17334,179043
BLG659.01,267.06,-32.163,-2.467,-2.155,16.7,213.9,2789,35722
BLG659.02,266.879,-32.163,-2.546,-2.024,16.7,211.1,2786,35222
BLG659.03,266.698,-32.163,-2.626,-1.892,12.8,180.4,2136,30107
BLG659.04,266.517,-32.163,-2.706,-1.761,19.9,253.4,3321,42300
BLG659.05,266.335,-32.163,-2.785,-1.63,15.9,210.1,2654,35072
BLG659.06,266.154,-32.163,-2.865,-1.499,25.8,301.9,4307,50409
BLG659.07,265.973,-32.163,-2.946,-1.368,22.2,257.9,3708,43082
BLG659.08,267.233,-31.841,-2.116,-2.115,12.8,136.4,2139,22795
BLG659.09,267.052,-31.841,-2.195,-1.983,7.7,90.8,1285,15160
BLG659.10,266.871,-31.841,-2.275,-1.851,10.0,103.6,1669,17293
BLG659.11,266.689,-31.841,-2.355,-1.72,7.4,111.2,1235,18567
BLG659.12,266.508,-31.841,-2.435,-1.588,12.1,169.8,2019,28338
BLG659.13,266.327,-31.841,-2.515,-1.457,15.8,209.7,2637,35005
BLG659.14,266.146,-31.841,-2.595,-1.325,15.7,208.0,2620,34722
BLG659.15,265.964,-31.841,-2.676,-1.194,10.0,131.1,1670,21900
BLG659.16,265.783,-31.841,-2.756,-1.063,8.0,89.1,1336,14884
BLG659.17,267.233,-31.542,-1.859,-1.961,11.4,150.9,1905,25225
BLG659.18,267.052,-31.542,-1.939,-1.829,12.1,168.7,2021,28180
BLG659.19,266.871,-31.542,-2.019,-1.697,15.4,196.8,2572,32874
BLG659.20,266.689,-31.542,-2.099,-1.565,20.0,240.9,3340,40232
BLG659.21,266.508,-31.542,-2.179,-1.433,29.8,321.5,4976,53693
BLG659.22,266.327,-31.542,-2.259,-1.301,21.9,251.4,3658,41996
BLG659.23,266.146,-31.542,-2.34,-1.169,18.3,191.0,3054,31884
BLG659.24,265.964,-31.542,-2.421,-1.037,15.9,155.6,2654,25980
BLG659.25,265.783,-31.542,-2.502,-0.906,15.1,143.5,2522,23971
BLG659.26,267.06,-31.221,-1.66,-1.669,23.4,279.7,3914,46788
BLG659.27,266.879,-31.221,-1.74,-1.537,25.2,285.0,4211,47631
BLG659.28,266.698,-31.221,-1.82,-1.404,32.3,327.9,5398,54801
BLG659.29,266.517,-31.221,-1.901,-1.272,28.6,250.7,4777,41879
BLG659.30,266.335,-31.221,-1.981,-1.139,25.4,195.0,4243,32574
BLG659.31,266.154,-31.221,-2.062,-1.007,17.5,140.8,2923,23520
BLG659.32,265.973,-31.221,-2.143,-0.875,17.0,108.0,2839,18041
BLG660.01,267.035,-33.393,-3.534,-2.77,132.5,2436.1,21706,399081
BLG660.02,266.851,-33.393,-3.613,-2.639,124.7,1995.3,20428,326876
BLG660.03,266.667,-33.393,-3.693,-2.508,111.5,1647.1,18270,269897
BLG660.04,266.483,-33.393,-3.772,-2.376,80.6,1011.1,13213,165759
BLG660.05,266.3,-33.393,-3.852,-2.245,112.9,1538.0,18504,252078
BLG660.06,266.116,-33.393,-3.932,-2.114,122.7,1703.7,20120,279369
BLG660.07,265.932,-33.393,-4.012,-1.984,61.9,719.8,10155,118086
BLG660.08,267.21,-33.072,-3.183,-2.731,113.4,1913.8,18568,313375
BLG660.09,267.026,-33.072,-3.262,-2.599,88.0,1307.3,14409,214063
BLG660.10,266.842,-33.072,-3.341,-2.467,78.9,1001.7,12922,164062
BLG660.11,266.659,-33.072,-3.421,-2.335,76.3,1012.6,12378,164280
BLG660.12,266.475,-33.072,-3.501,-2.203,97.7,1333.0,16001,218324
BLG660.13,266.291,-33.072,-3.581,-2.072,101.8,1294.5,16673,212018
BLG660.14,266.107,-33.072,-3.662,-1.941,113.4,1502.7,18586,246292
BLG660.15,265.924,-33.072,-3.742,-1.809,71.5,792.4,11610,128677
BLG660.16,265.74,-33.072,-3.823,-1.678,74.9,738.0,12287,121072
BLG660.17,267.21,-32.773,-2.926,-2.577,87.6,1171.5,14344,191827
BLG660.18,267.026,-32.773,-3.005,-2.445,88.7,1233.9,14524,202044
BLG660.19,266.842,-32.773,-3.085,-2.312,58.9,719.8,9642,117835
BLG660.20,266.659,-32.773,-3.165,-2.18,28.2,346.0,4618,56669
BLG660.21,266.475,-32.773,-3.245,-2.048,33.8,383.0,5537,62744
BLG660.22,266.291,-32.773,-3.326,-1.916,37.3,393.8,6109,64498
BLG660.23,266.107,-32.773,-3.406,-1.784,38.9,427.4,6374,70034
BLG660.25,265.74,-32.773,-3.568,-1.521,61.8,709.6,10131,116330
BLG660.26,267.035,-32.451,-2.726,-2.285,33.1,380.7,5419,62337
BLG660.27,266.851,-32.451,-2.806,-2.152,29.5,335.5,4830,54936
BLG660.28,266.667,-32.451,-2.886,-2.02,20.9,257.6,3422,42180
BLG661.01,265.576,-34.008,-4.692,-2.055,114.0,1546.8,18291,248191
BLG661.02,265.391,-34.008,-4.773,-1.924,114.4,1502.1,18360,241078
BLG661.03,265.206,-34.008,-4.854,-1.794,93.5,1108.3,15006,177883
BLG661.04,265.021,-34.008,-4.935,-1.664,88.3,1038.0,14178,166680
BLG661.05,264.836,-34.008,-5.017,-1.534,66.4,690.0,10664,110812
BLG661.06,264.651,-34.008,-5.099,-1.404,53.1,482.5,8530,77512
BLG661.07,264.466,-34.008,-5.181,-1.274,62.7,625.6,10075,100525
BLG661.08,265.752,-33.687,-4.341,-2.01,79.8,965.5,12801,154882
BLG661.09,265.567,-33.687,-4.422,-1.879,93.4,1226.5,14986,196806
BLG661.10,265.382,-33.687,-4.504,-1.748,107.9,1300.5,17313,208671
BLG661.11,265.197,-33.687,-4.585,-1.618,103.3,1246.3,16579,200031
BLG661.12,265.012,-33.687,-4.667,-1.487,85.0,886.8,13641,142318
BLG661.13,264.827,-33.687,-4.749,-1.357,75.2,730.2,12077,117269
BLG661.14,264.642,-33.687,-4.831,-1.226,90.9,876.8,14602,140848
BLG661.15,264.457,-33.687,-4.913,-1.096,90.5,946.8,14538,152093
BLG661.16,264.272,-33.687,-4.996,-0.966,75.7,794.2,12169,127686
BLG661.17,265.752,-33.388,-4.087,-1.853,72.1,716.5,11571,114993
BLG661.18,265.567,-33.388,-4.168,-1.722,71.9,676.1,11542,108543
BLG661.19,265.382,-33.388,-4.249,-1.59,80.2,864.1,12868,138657
BLG661.20,265.197,-33.388,-4.331,-1.459,87.6,942.1,14066,151281
BLG661.21,265.012,-33.388,-4.413,-1.328,95.5,1044.8,15327,167692
BLG661.22,264.827,-33.388,-4.495,-1.197,80.2,807.1,12883,129659
BLG661.23,264.642,-33.388,-4.578,-1.067,63.0,606.2,10120,97384
BLG661.24,264.457,-33.388,-4.66,-0.936,54.0,506.6,8677,81395
BLG661.25,264.272,-33.388,-4.743,-0.806,65.2,626.0,10481,100646
BLG661.26,265.576,-33.067,-3.891,-1.559,58.1,603.0,9326,96800
BLG661.27,265.391,-33.067,-3.973,-1.427,56.3,590.5,9042,94832
BLG661.28,265.206,-33.067,-4.055,-1.295,50.2,496.5,8060,79715
BLG661.29,265.021,-33.067,-4.137,-1.164,72.5,732.2,11644,117598
BLG661.30,264.836,-33.067,-4.219,-1.032,56.8,540.5,9124,86822
BLG661.31,264.651,-33.067,-4.302,-0.901,31.6,293.5,5076,47150
BLG661.32,264.466,-33.067,-4.385,-0.77,34.9,284.4,5610,45713
BLG662.01,263.037,-30.932,-3.245,1.404,52.5,533.3,8541,86768
BLG662.02,262.858,-30.932,-3.329,1.532,72.9,724.8,11858,117897
BLG662.03,262.679,-30.932,-3.414,1.66,64.8,616.2,10543,100256
BLG662.04,262.5,-30.932,-3.498,1.789,35.1,332.8,5712,54159
BLG662.05,262.321,-30.932,-3.583,1.917,32.4,341.9,5271,55627
BLG662.06,262.142,-30.932,-3.668,2.045,45.3,464.2,7370,75525
BLG662.07,261.963,-30.932,-3.753,2.172,46.9,444.9,7636,72437
BLG662.08,263.207,-30.611,-2.896,1.456,99.6,1296.7,16205,210974
BLG662.09,263.028,-30.611,-2.98,1.585,102.9,1404.0,16737,228377
BLG662.10,262.85,-30.611,-3.064,1.714,100.6,1316.7,16356,214067
BLG662.11,262.671,-30.611,-3.149,1.843,90.1,1057.8,14648,171990
BLG662.12,262.492,-30.611,-3.234,1.972,69.3,673.2,11267,109452
BLG662.13,262.313,-30.611,-3.319,2.1,54.8,509.8,8909,82885
BLG662.14,262.134,-30.611,-3.404,2.228,62.2,589.2,10112,95795
BLG662.15,261.955,-30.611,-3.489,2.357,71.4,686.5,11611,111641
BLG662.16,261.776,-30.611,-3.575,2.485,61.7,643.6,10041,104739
BLG662.17,263.207,-30.312,-2.645,1.619,129.3,1749.8,21022,284491
BLG662.18,263.028,-30.312,-2.729,1.749,122.2,1725.1,19872,280542
BLG662.19,262.85,-30.312,-2.814,1.878,114.9,1595.2,18672,259239
BLG662.20,262.671,-30.312,-2.899,2.007,111.6,1619.8,18135,263228
BLG662.21,262.492,-30.312,-2.984,2.136,120.6,1825.8,19598,296713
BLG662.22,262.313,-30.312,-3.069,2.265,111.8,1657.3,18168,269330
BLG662.23,262.134,-30.312,-3.154,2.394,92.3,1279.7,15002,208001
BLG662.24,261.955,-30.312,-3.24,2.522,88.9,1324.2,14450,215235
BLG662.25,261.776,-30.312,-3.326,2.651,76.9,1069.3,12511,173984
BLG662.26,263.037,-29.99,-2.456,1.918,134.8,1764.0,21911,286731
BLG662.27,262.858,-29.99,-2.541,2.048,128.9,1887.0,20947,306658
BLG662.28,262.679,-29.99,-2.626,2.178,130.7,2023.8,21229,328733
BLG662.29,262.5,-29.99,-2.711,2.307,118.5,1812.5,19247,294412
BLG662.30,262.321,-29.99,-2.797,2.436,109.5,1720.2,17790,279471
BLG662.31,262.142,-29.99,-2.882,2.566,103.9,1663.4,16884,270315
BLG662.32,261.963,-29.99,-2.968,2.695,111.6,1557.4,18135,253098
BLG663.01,272.583,-24.779,6.357,-2.691,51.0,683.0,8118,108720
BLG663.02,272.413,-24.779,6.283,-2.557,60.2,790.8,9585,125911
BLG663.03,272.244,-24.779,6.209,-2.422,64.1,821.7,10208,130862
BLG663.04,272.075,-24.779,6.134,-2.288,69.6,865.9,11084,137901
BLG663.05,271.906,-24.779,6.06,-2.153,63.5,704.9,10115,112288
BLG663.06,271.737,-24.779,5.985,-2.019,44.6,501.4,7106,79891
BLG663.07,271.567,-24.779,5.91,-1.885,43.7,477.2,6962,76035
BLG663.08,272.744,-24.458,6.71,-2.666,33.5,423.9,5338,67558
BLG663.09,272.575,-24.458,6.636,-2.53,22.9,261.3,3649,41644
BLG663.10,272.406,-24.458,6.561,-2.395,24.9,282.3,3968,44990
BLG663.11,272.236,-24.458,6.487,-2.261,39.7,454.0,6327,72355
BLG663.12,272.067,-24.458,6.412,-2.126,42.0,484.4,6695,77218
BLG663.13,271.898,-24.458,6.337,-1.991,33.3,358.0,5309,57083
BLG663.14,271.729,-24.458,6.263,-1.856,37.4,392.9,5963,62647
BLG663.15,271.559,-24.458,6.188,-1.722,44.5,449.3,7093,71623
BLG663.16,271.39,-24.458,6.112,-1.587,20.5,201.1,3268,32065
BLG663.17,272.744,-24.159,6.972,-2.522,33.3,381.9,5310,60908
BLG663.18,272.575,-24.159,6.898,-2.386,13.8,137.5,2200,21929
BLG663.19,272.406,-24.159,6.824,-2.251,14.4,164.9,2297,26305
BLG663.20,272.236,-24.159,6.749,-2.116,25.2,298.9,4018,47659
BLG663.21,272.067,-24.159,6.674,-1.981,26.5,312.3,4227,49819
BLG663.22,271.898,-24.159,6.599,-1.846,51.7,546.1,8247,87117
BLG663.23,271.729,-24.159,6.524,-1.711,52.6,541.4,8393,86388
BLG663.24,271.559,-24.159,6.449,-1.576,31.9,292.0,5090,46592
BLG663.25,271.39,-24.159,6.373,-1.441,20.3,187.4,3239,29909
BLG663.26,272.583,-23.837,7.183,-2.238,31.4,360.8,5011,57584
BLG663.27,272.413,-23.837,7.109,-2.102,23.6,274.1,3766,43746
BLG663.28,272.244,-23.837,7.034,-1.967,29.0,319.9,4629,51069
BLG663.29,272.075,-23.837,6.959,-1.831,40.3,441.8,6435,70546
BLG663.30,271.906,-23.837,6.884,-1.696,51.9,577.7,8287,92246
BLG663.31,271.737,-23.837,6.808,-1.561,29.8,285.4,4757,45561
BLG663.32,271.567,-23.837,6.733,-1.425,22.4,183.8,3575,29350
BLG664.01,271.239,-25.395,5.228,-1.926,61.8,704.6,10104,115202
BLG664.02,271.069,-25.395,5.153,-1.792,78.0,903.0,12756,147675
BLG664.03,270.899,-25.395,5.077,-1.658,91.4,978.8,14951,160110
BLG664.04,270.729,-25.395,5.002,-1.524,67.6,740.3,11057,121096
BLG664.05,270.559,-25.395,4.926,-1.391,31.1,306.7,5088,50181
BLG664.06,270.389,-25.395,4.85,-1.257,30.3,298.7,4958,48884
BLG664.07,270.219,-25.395,4.774,-1.123,28.3,245.0,4631,40095
BLG664.08,271.402,-25.073,5.58,-1.897,52.3,560.0,8553,91581
BLG664.09,271.231,-25.073,5.505,-1.762,38.3,423.7,6263,69291
BLG664.10,271.061,-25.073,5.429,-1.628,54.8,579.7,8961,94803
BLG664.11,270.891,-25.073,5.354,-1.494,57.1,589.3,9340,96396
BLG664.12,270.721,-25.073,5.278,-1.36,60.1,565.6,9831,92519
BLG664.13,270.551,-25.073,5.202,-1.226,32.5,270.8,5317,44307
BLG664.14,270.381,-25.073,5.126,-1.092,35.3,286.4,5775,46860
BLG664.15,270.211,-25.073,5.05,-0.958,33.7,215.8,5515,35317
BLG664.16,270.041,-25.073,4.973,-0.824,34.1,229.4,5580,37542
BLG664.17,271.402,-24.774,5.841,-1.751,33.0,359.5,5398,58806
BLG664.18,271.231,-24.774,5.766,-1.616,28.0,314.6,4580,51461
BLG664.19,271.061,-24.774,5.69,-1.481,51.2,522.3,8375,85436
BLG664.20,270.891,-24.774,5.614,-1.347,37.6,368.1,6150,60213
BLG664.21,270.721,-24.774,5.538,-1.212,43.2,361.7,7068,59180
BLG664.22,270.551,-24.774,5.462,-1.078,24.2,198.8,3959,32527
BLG664.23,270.381,-24.774,5.386,-0.944,21.0,145.7,3435,23839
BLG664.24,270.211,-24.774,5.309,-0.81,23.4,142.9,3828,23381
BLG664.25,270.041,-24.774,5.233,-0.676,27.4,177.9,4483,29107
BLG664.26,271.239,-24.453,6.05,-1.465,18.3,163.2,2994,26708
BLG664.27,271.069,-24.453,5.974,-1.33,20.3,165.2,3321,27029
BLG664.28,270.899,-24.453,5.898,-1.195,17.0,112.5,2781,18407
BLG664.29,270.729,-24.453,5.822,-1.06,9.3,70.6,1521,11551
BLG664.30,270.559,-24.453,5.745,-0.926,10.2,74.6,1668,12205
BLG664.31,270.389,-24.453,5.669,-0.791,22.3,125.8,3648,20583
BLG664.32,270.219,-24.453,5.592,-0.657,23.1,130.6,3779,21368
BLG665.01,263.029,-25.792,1.065,4.212,24.0,301.7,3908,49132
BLG665.02,262.858,-25.792,0.982,4.341,18.2,217.8,2963,35469
BLG665.03,262.687,-25.792,0.898,4.47,19.4,227.6,3161,37091
BLG665.04,262.517,-25.792,0.813,4.598,21.1,260.4,3441,42477
BLG665.05,262.346,-25.792,0.729,4.727,23.8,338.4,3886,55253
BLG665.06,262.175,-25.792,0.644,4.855,34.4,567.5,5620,92726
BLG665.07,262.005,-25.792,0.56,4.984,44.5,790.9,7276,129320
BLG665.08,263.191,-25.47,1.416,4.263,14.1,186.2,2301,30388
BLG665.09,263.021,-25.47,1.332,4.393,26.2,343.6,4277,56090
BLG665.10,262.85,-25.47,1.248,4.522,24.6,318.8,4018,52079
BLG665.11,262.679,-25.47,1.164,4.651,23.4,302.8,3826,49512
BLG665.12,262.509,-25.47,1.079,4.78,24.7,315.6,4038,51605
BLG665.13,262.338,-25.47,0.995,4.909,34.5,531.4,5645,86954
BLG665.17,263.191,-25.171,1.668,4.425,29.9,402.9,4896,65976
BLG665.18,263.021,-25.171,1.584,4.555,27.7,386.3,4537,63272
BLG665.19,262.85,-25.171,1.5,4.685,30.0,425.5,4916,69726
BLG665.20,262.679,-25.171,1.415,4.814,32.7,453.7,5361,74382
BLG665.21,262.509,-25.171,1.331,4.944,33.5,529.0,5493,86748
BLG665.26,263.029,-24.85,1.859,4.723,30.5,436.9,5009,71765
BLG665.27,262.858,-24.85,1.774,4.853,28.5,422.5,4684,69449
BLG665.28,262.687,-24.85,1.69,4.983,25.1,345.4,4127,56802
BLG666.01,263.03,-27.022,0.031,3.542,48.3,511.6,7814,82775
BLG666.02,262.857,-27.022,-0.053,3.671,36.3,362.8,5873,58700
BLG666.03,262.685,-27.022,-0.137,3.799,49.8,554.7,8057,89749
BLG666.04,262.512,-27.022,-0.221,3.928,46.3,539.9,7491,87354
BLG666.05,262.34,-27.022,-0.306,4.056,48.1,739.5,7789,119756
BLG666.06,262.168,-27.022,-0.39,4.184,43.8,639.8,7095,103651
BLG666.07,261.995,-27.022,-0.475,4.313,37.9,526.6,6142,85346
BLG666.08,263.194,-26.701,0.381,3.593,47.8,516.6,7735,83603
BLG666.09,263.022,-26.701,0.297,3.723,21.2,222.0,3430,35919
BLG666.10,262.849,-26.701,0.213,3.852,21.0,219.2,3396,35449
BLG666.11,262.677,-26.701,0.129,3.981,24.0,246.7,3882,39905
BLG666.12,262.504,-26.701,0.044,4.11,27.2,299.0,4398,48354
BLG666.13,262.332,-26.701,-0.04,4.239,44.7,551.2,7235,89226
BLG666.14,262.16,-26.701,-0.125,4.367,38.4,556.0,6219,90054
BLG666.15,261.987,-26.701,-0.21,4.496,25.9,247.9,4197,40177
BLG666.16,261.815,-26.701,-0.296,4.624,28.3,383.4,4592,62204
BLG666.17,263.194,-26.402,0.633,3.756,33.3,340.2,5396,55134
BLG666.18,263.022,-26.402,0.549,3.886,19.1,202.1,3095,32753
BLG666.19,262.849,-26.402,0.464,4.015,16.5,161.3,2672,26128
BLG666.20,262.677,-26.402,0.38,4.144,25.2,278.8,4083,45173
BLG666.21,262.504,-26.402,0.295,4.274,32.8,377.5,5314,61165
BLG666.22,262.332,-26.402,0.21,4.403,31.1,353.0,5041,57223
BLG666.23,262.16,-26.402,0.125,4.532,24.0,276.1,3892,44779
BLG666.24,261.987,-26.402,0.04,4.661,30.3,455.4,4922,73983
BLG666.25,261.815,-26.402,-0.046,4.79,52.2,893.8,8482,145239
BLG666.26,263.03,-26.08,0.823,4.054,22.1,227.9,3588,37004
BLG666.27,262.857,-26.08,0.739,4.184,23.5,245.6,3815,39878
BLG666.28,262.685,-26.08,0.654,4.314,23.8,252.6,3865,41025
BLG666.29,262.512,-26.08,0.569,4.444,27.2,305.8,4417,49665
BLG666.30,262.34,-26.08,0.484,4.573,24.6,277.3,3997,45058
BLG666.31,262.168,-26.08,0.399,4.703,27.6,334.8,4488,54441
BLG666.32,261.995,-26.08,0.313,4.832,32.7,483.9,5318,78705
BLG667.01,264.381,-26.407,1.202,2.857,71.6,952.3,11653,154993
BLG667.02,264.21,-26.407,1.12,2.987,69.5,949.0,11311,154456
BLG667.03,264.038,-26.407,1.037,3.117,62.1,830.3,10107,135137
BLG667.04,263.867,-26.407,0.955,3.246,60.8,825.7,9895,134388
BLG667.05,263.695,-26.407,0.872,3.376,62.6,891.9,10186,145129
