field,RAdeg,DEdeg,GLON,GLAT,sigma18,sigma21,N18,N21
BLG544.10,273.775,-23.843,7.701,-3.198,97.2,1341.7,15809,218216
BLG544.11,273.606,-23.843,7.627,-3.063,90.5,1347.8,14719,219225
BLG544.12,273.438,-23.843,7.554,-2.927,73.1,1134.2,11889,184483
BLG544.13,273.27,-23.843,7.48,-2.792,61.3,899.3,9970,146277
BLG544.14,273.101,-23.843,7.407,-2.656,62.0,937.9,10086,152584
BLG544.15,272.933,-23.843,7.333,-2.521,55.1,546.0,8966,88848
BLG544.16,272.764,-23.843,7.259,-2.386,30.8,307.8,5010,50075
BLG544.17,274.112,-23.543,8.111,-3.328,128.1,1565.1,20849,254738
BLG544.18,273.943,-23.543,8.038,-3.192,117.2,1492.4,19080,242973
BLG544.19,273.775,-23.543,7.964,-3.056,111.0,1467.1,18071,238846
BLG544.20,273.606,-23.543,7.891,-2.92,101.3,1448.7,16487,235793
BLG544.21,273.438,-23.543,7.817,-2.785,82.0,1232.6,13343,200566
BLG544.22,273.27,-23.543,7.743,-2.649,75.5,1104.0,12291,179733
BLG544.23,273.101,-23.543,7.67,-2.513,57.2,822.1,9314,133879
BLG544.24,272.933,-23.543,7.595,-2.378,59.4,844.9,9670,137551
BLG544.25,272.764,-23.543,7.521,-2.242,49.6,662.4,8076,107865
BLG544.26,273.951,-23.222,8.325,-3.046,101.3,1376.2,16507,224268
BLG544.27,273.783,-23.222,8.251,-2.91,93.0,1322.2,15154,215460
BLG544.28,273.614,-23.222,8.177,-2.774,83.0,1208.4,13525,196924
BLG544.29,273.446,-23.222,8.103,-2.638,62.5,918.8,10179,149645
BLG544.30,273.277,-23.222,8.03,-2.502,61.8,850.1,10065,138463
BLG544.31,273.109,-23.222,7.955,-2.366,53.7,702.9,8748,114506
BLG544.32,272.941,-23.222,7.881,-2.23,52.3,645.2,8524,105164
BLG545.01,273.956,-25.395,6.409,-4.078,128.8,1624.5,21114,266317
BLG545.02,273.786,-25.395,6.336,-3.943,96.0,1413.0,15737,231637
BLG545.03,273.616,-25.395,6.263,-3.807,82.3,1195.5,13491,195981
BLG545.04,273.446,-25.395,6.19,-3.672,94.4,1359.8,15475,222916
BLG545.05,273.276,-25.395,6.117,-3.537,81.2,1213.4,13311,198916
BLG545.06,273.106,-25.395,6.044,-3.402,88.4,1343.5,14491,220243
BLG545.07,272.936,-25.395,5.97,-3.267,86.8,1417.4,14229,232358
BLG545.08,274.118,-25.073,6.763,-4.056,110.3,1473.5,18081,241555
BLG545.09,273.948,-25.073,6.69,-3.92,110.1,1474.6,18049,241735
BLG545.10,273.778,-25.073,6.617,-3.784,103.2,1463.6,16917,239932
BLG545.11,273.608,-25.073,6.543,-3.649,107.2,1516.2,17569,248486
BLG545.12,273.438,-25.073,6.47,-3.513,99.7,1484.5,16344,243358
BLG545.13,273.268,-25.073,6.397,-3.378,76.6,1131.8,12557,185539
BLG545.14,273.098,-25.073,6.323,-3.242,66.6,1016.8,10915,166646
BLG545.15,272.928,-25.073,6.249,-3.107,79.8,1345.8,13081,220621
BLG545.16,272.758,-25.073,6.175,-2.972,82.9,1364.2,13586,223574
BLG545.17,274.118,-24.774,7.027,-3.915,91.9,1220.8,15065,200129
BLG545.18,273.948,-24.774,6.954,-3.779,86.0,1181.2,14098,193637
BLG545.19,273.778,-24.774,6.881,-3.642,91.7,1348.6,15032,221080
BLG545.20,273.608,-24.774,6.807,-3.507,93.6,1397.4,15344,229079
BLG545.21,273.438,-24.774,6.734,-3.371,80.8,1290.6,13245,211563
BLG545.22,273.268,-24.774,6.66,-3.235,69.3,1065.3,11357,174595
BLG545.23,273.098,-24.774,6.586,-3.099,57.0,882.2,9344,144621
BLG545.24,272.928,-24.774,6.512,-2.964,52.6,737.7,8620,120903
BLG545.25,272.758,-24.774,6.438,-2.828,48.0,625.0,7868,102458
BLG545.26,273.956,-24.453,7.241,-3.633,94.4,1329.8,15478,218049
BLG545.27,273.786,-24.453,7.168,-3.496,92.9,1338.8,15232,219533
BLG545.28,273.616,-24.453,7.094,-3.36,82.4,1158.1,13511,189895
BLG545.29,273.446,-24.453,7.02,-3.224,72.2,1109.6,11835,181900
BLG545.30,273.276,-24.453,6.946,-3.088,78.1,1167.7,12803,191424
BLG545.31,273.106,-24.453,6.872,-2.952,62.9,956.3,10311,156769
BLG545.32,272.936,-24.453,6.798,-2.816,52.5,836.2,8606,137072
BLG546.01,274.21,-32.778,-0.053,-7.72,61.5,635.0,10765,111149
BLG546.02,274.027,-32.778,-0.124,-7.584,63.8,647.4,11168,113328
BLG546.03,273.845,-32.778,-0.196,-7.448,66.3,684.0,11608,119763
BLG546.04,273.663,-32.778,-0.267,-7.312,68.8,711.4,12046,124552
BLG546.05,273.48,-32.778,-0.339,-7.176,68.4,736.9,11984,129115
BLG546.06,273.298,-32.778,-0.411,-7.04,73.1,780.7,12811,136812
BLG546.07,273.115,-32.778,-0.484,-6.904,74.9,834.5,13126,146258
BLG546.08,274.384,-32.457,0.303,-7.702,57.5,635.7,10074,111383
BLG546.09,274.201,-32.457,0.232,-7.565,62.4,648.7,10930,113634
BLG546.10,274.019,-32.457,0.16,-7.429,66.1,698.4,11578,122332
BLG546.11,273.836,-32.457,0.088,-7.292,74.8,743.8,13099,130255
BLG546.12,273.654,-32.457,0.016,-7.156,75.2,780.0,13170,136612
BLG546.13,273.472,-32.457,-0.056,-7.02,72.4,787.4,12682,137931
BLG546.14,273.289,-32.457,-0.128,-6.884,64.1,767.8,11226,134467
BLG546.15,273.107,-32.457,-0.201,-6.747,67.0,827.4,11736,144938
BLG546.16,272.924,-32.457,-0.274,-6.612,70.5,876.5,12358,153645
BLG546.17,274.384,-32.157,0.571,-7.565,59.1,645.5,10364,113195
BLG546.18,274.201,-32.157,0.499,-7.428,65.3,699.2,11451,122613
BLG546.19,274.019,-32.157,0.428,-7.291,64.6,694.8,11323,121803
BLG546.20,273.836,-32.157,0.355,-7.154,67.9,735.6,11902,128946
BLG546.21,273.654,-32.157,0.283,-7.017,64.5,741.4,11301,129903
BLG546.22,273.472,-32.157,0.211,-6.88,60.0,758.7,10512,132926
BLG546.23,273.289,-32.157,0.138,-6.744,60.6,820.3,10613,143661
BLG546.24,273.107,-32.157,0.065,-6.607,68.8,846.0,12057,148273
BLG546.25,272.924,-32.157,-0.008,-6.471,84.2,1009.7,14756,176953
BLG546.26,274.21,-31.836,0.79,-7.286,71.5,723.5,12553,127021
BLG546.27,274.027,-31.836,0.718,-7.148,71.9,781.0,12618,137071
BLG546.28,273.845,-31.836,0.646,-7.011,58.7,717.4,10299,125863
BLG546.29,273.663,-31.836,0.573,-6.874,52.2,713.8,9156,125202
BLG546.30,273.48,-31.836,0.5,-6.736,65.4,805.5,11469,141264
