_l_key,_b_key,l_baseline,b_baseline,avg_tau_baseline,eventrate_source_baseline,eventrate_area_baseline,avg_t_baseline,avg_logt_baseline,frac_lowmass_baseline,l_kirkpatrick_min001,b_kirkpatrick_min001,avg_tau_kirkpatrick_min001,eventrate_source_kirkpatrick_min001,eventrate_area_kirkpatrick_min001,avg_t_kirkpatrick_min001,avg_logt_kirkpatrick_min001,frac_lowmass_kirkpatrick_min001
0.581,-1.801,0.581,-1.801,2.393391877246404e-06,3.084431167172972e-05,410.1842700394955,18.04301364153781,1.0916353617786712,0.0698412452280977,0.581,-1.801,3.577053371195974e-06,4.2405386043752e-05,18573.044190888773,19.614387295812787,1.1214006860671053,0.0917315199201389
0.502,-1.667,0.502,-1.667,2.582900071411055e-06,3.327729054289769e-05,512.9880194395498,18.04803785935569,1.0815228201359557,0.0629540349346074,0.502,-1.667,4.02615796102655e-06,4.535185329042975e-05,21228.42141865621,20.6426818116674,1.1291672806550417,0.081985821651862
0.423,-1.533,0.423,-1.533,2.728519792952587e-06,3.420291225823641e-05,375.18408507251934,18.549592347166573,1.0919252919839644,0.0695524661145726,0.423,-1.533,4.066387884845967e-06,4.7829146338872713e-05,23967.747761621176,19.76908281700156,1.1137013183683755,0.0813790777586901
0.345,-1.4,0.345,-1.4,2.645089244486803e-06,3.374476169153379e-05,318.0168520257791,18.2265433015116,1.0765963266517558,0.0610863226479926,0.345,-1.4,4.799856352682351e-06,5.4790506217786834e-05,29989.94257899157,20.370105339646805,1.1243504411217915,0.0882640137889933
0.266,-1.267,0.266,-1.267,2.8361826891891893e-06,3.03589312971256e-05,106.90519580372576,21.72291336623163,1.1436591773766311,0.0643407229411371,0.266,-1.267,4.690321957783165e-06,5.515120691176584e-05,31613.08234173332,19.77506782596135,1.107711036845303,0.0870217646837876
0.186,-1.134,0.186,-1.134,2.4194123809555723e-06,2.9594431744695457e-05,96.91134338931964,19.009480175559972,1.0877766320731053,0.0675086767254674,0.186,-1.134,5.849153084877953e-06,6.205302419315942e-05,38384.13890842087,21.91797279496995,1.1261208551127375,0.0829818587339666
-3.457,-4.11,-3.457,-4.11,1.1286097204066008e-06,1.064665676507506e-05,73.06289986245454,24.649089447509013,1.2331102400613,0.0618810540510271,-3.457,-4.11,1.2618344101876087e-06,1.1767673832943952e-05,1455.167619103606,24.93343371140633,1.241326257028921,0.0864112567112698
-3.534,-3.977,-3.534,-3.977,1.2002581216630635e-06,1.1027590712593613e-05,60.682023705023546,25.308380891002347,1.2338306193957052,0.0691491812223925,-3.534,-3.977,1.480698071002408e-06,1.291353996757756e-05,1741.232189754971,26.66192774658273,1.2623302503415494,0.0756839317125629
-3.612,-3.845,-3.612,-3.845,1.018689911188188e-06,1.0391706752855612e-05,64.53721594104965,22.794258540944693,1.2035186900835169,0.0608022082671156,-3.612,-3.845,1.4638066843837482e-06,1.340231547269496e-05,1900.5441294050909,25.39652154188771,1.253695345182,0.0799520941446959
-3.69,-3.713,-3.69,-3.713,1.0013282188352329e-06,1.0531266764788436e-05,73.01569270928627,22.10885182533945,1.2028221996335542,0.0570741387215778,-3.69,-3.713,1.744483066778781e-06,1.43855685839457e-05,2189.196948985427,28.197465497061984,1.2655110211645944,0.0814103475121499
-3.768,-3.581,-3.768,-3.581,1.1697228693764658e-06,1.1568649868129475e-05,81.48179040568144,23.51097563433136,1.2209937329604164,0.0659562780721398,-3.768,-3.581,1.5374621710327456e-06,1.4260691338203716e-05,2219.4150522546884,25.06883814798903,1.2441950944801812,0.0866399506245656
-3.846,-3.449,-3.846,-3.449,1.398459007716574e-06,1.2572572427680258e-05,100.31048718052342,25.864014915555977,1.2373165677196174,0.0661329496436552,-3.846,-3.449,1.5500230258025391e-06,1.4524332059614902e-05,2388.5210403754118,24.81488849075553,1.2420340940189578,0.0828247942885662
-3.925,-3.317,-3.925,-3.317,1.409316769829318e-06,1.2899690915076478e-05,98.94137556048088,25.403857202984035,1.232647489393092,0.0556652910216656,-3.925,-3.317,1.7436439420455554e-06,1.5853015060365324e-05,2692.144416089999,25.57503758540281,1.2526762782906604,0.0773368909856094
-3.104,-4.075,-3.104,-4.075,1.145468929209398e-06,1.091154672042748e-05,76.30759518580827,24.40997555522696,1.2327834499041253,0.0618257527682349,-3.104,-4.075,1.2972733966263846e-06,1.2147656197866714e-05,1608.8551881590774,24.83186666116326,1.245154597248631,0.0735709787047173
-3.182,-3.942,-3.182,-3.942,1.180471789433007e-06,1.1366671277058004e-05,64.80194936098977,24.14863904430244,1.2312059581671408,0.0620907232700329,-3.182,-3.942,1.5398143946588669e-06,1.3652136852606042e-05,1928.7428032744976,26.2263643102044,1.2607785480228333,0.0673467816682973
