l,b,gaia_median,gaia_std
-9,3,-0.2829046089916204,5.526600180440569
-8,3,-0.27242828959712506,2.5301437998089678
-7,3,-0.22995248467604706,3.4505964026667146
-6,3,-0.29508620290484255,2.317068749614669
-5,3,-0.36475639183483183,3.084747051927108
-4,3,-0.23075775389834807,2.77976808547967
-3,3,-0.19005613820956174,2.5779682750887356
-2,3,-0.2413079282860066,2.810546783047134
-1,3,-0.17219949131168366,2.7566345308692424
0,3,-0.1458080224000079,2.8340015505465352
1,3,-0.2380210093570777,2.8268189928196517
2,3,-0.15701520929727997,2.8455662515174494
3,3,-0.2957458361720062,3.0627715575467627
4,3,-0.28289619627152873,3.2203084278459357
5,3,-0.2929352965580356,3.0331917772570365
6,3,-0.3356686496197818,2.972400235201205
7,3,-0.3778317627677576,2.786542806700423
8,3,-0.3745665835175718,2.7680052262236945
9,3,-0.3856603017899296,2.58818636800472
10,3,-0.4498776204717428,2.6237730071777157
-10,4,-0.273034861692816,2.578994660017155
-9,4,-0.26527686914900234,2.562172159831432
-8,4,-0.21182309315309517,2.805077150185693
-7,4,-0.2718135714163102,2.700449994766743
-6,4,-0.2123044984132479,2.748435338960453
-5,4,-0.26989361119177047,2.456037257261333
-4,4,-0.21779711194762882,3.2069420274024854
-3,4,-0.21101056709169952,2.528291102396579
-2,4,-0.21523754735265616,2.605769927584679
-1,4,-0.22544675058188854,2.678419138703926
0,4,-0.0908234744995885,2.767623800118343
1,4,6.443085477663386e-05,2.696848452654635
2,4,-0.1704163973432706,2.8411026527622187
3,4,-0.29422266410350556,2.842582147406751
4,4,-0.3889420567075956,4.404840759578427
5,4,-0.4206911786756283,3.161069666825276
6,4,-0.33568689397059326,3.495950299144991
7,4,-0.3663705930668547,3.062813508081574
8,4,-0.43859483992882853,2.6622918067210963
9,4,-0.4170310093334556,2.666886294219621
10,4,-0.4592874559244555,2.6347666572151076
-10,5,-0.2255433282379733,2.71469385431216
-9,5,-0.1694812248514494,2.5334201455640244
-8,5,-0.16639211440989893,2.636506527806513
-7,5,-0.229701184845675,2.5618571699433668
-6,5,-0.16540658901159488,2.664525939006977
-5,5,-0.1303698388337348,2.6288378907384047
-4,5,-0.12856183428539758,2.816824060443296
-3,5,-0.15713591262193558,2.778063867918879
-2,5,-0.13809098776238146,2.70031068778277
-1,5,-0.16386407770201197,2.631820290574692
0,5,-0.2406008944709948,3.039956543070089
1,5,-0.27008375897611603,2.8293695999904074
2,5,-0.2935089446679955,2.8846339907045544
3,5,-0.26742101017470976,2.8810787029861955
4,5,-0.3746960680223911,2.9948140917849493
5,5,-0.3742124695438118,3.1771576015727776
6,5,-0.41682616182234494,3.037743011532402
7,5,-0.36903482591391673,3.1081622410478844
8,5,-0.39462595849602977,2.859645806627796
9,5,-0.44010251747010687,2.7273649028860887
10,5,-0.4400756130654967,2.5480562308875125
