l,b,n_source,n_lens,sa_source,sa_lens,avg_tau,avg_murel,avg_theta,eventrate_area,eventrate_source,avg_t,avg_logt,stdev_t,stdev_logt,avg_ds,avg_dl,stdev_ds,stdev_dl,frac_bulge_lens,frac_disk_lens,frac_bulge_source,frac_disk_source,frac_lowmass,field_id,f_src,f_lens,frac_nsd_lens,frac_nsd_source
-0.31,-2.144,4719,4169,1.0186406517667534e-07,2.3342832878255476e-09,2.5178478005997383e-06,6.558546694162553,0.27947032410041867,416.595892144302,2.9521014268500655e-05,19.8320928539076,1.1236994867748653,22.084551683408137,0.38457160054985523,8.856352352581162,7.154043168646169,1.3792791744498591,1.6010875112397764,0.8172701761968397,0.1804866844603216,0.9090015095393943,0.09031026352413862,0.06659966528556203,20,outputfiles/ogle_chips/src/Huston2025_l-0.310_b-2.144.h5,outputfiles/ogle_chips/lens/Huston2025_l-0.310_b-2.144.h5,0.0001834095730081657,0.00011541160361551965
-0.388,-2.012,3923,4481,8.635903850953188e-08,2.2395472702718813e-09,2.480603189450037e-06,6.467224964134262,0.25707310389126836,425.5049424170157,3.0749592448438425e-05,18.758075575289936,1.1032061513564304,21.054491651978164,0.37876244810042653,8.97872949185454,7.455928508701613,1.4932443603444656,1.2056469378240176,0.8648151286297071,0.13416226656961014,0.8980976738928937,0.10121437407123095,0.06624426885679437,21,outputfiles/ogle_chips/src/Huston2025_l-0.388_b-2.012.h5,outputfiles/ogle_chips/lens/Huston2025_l-0.388_b-2.012.h5,0.0,0.0001130812077264188
-0.466,-1.88,3227,4117,8.803443431835877e-08,1.9992041260601684e-09,2.340314634237049e-06,6.624597625043981,0.24670736350313602,336.8163945103027,3.016422002276959e-05,18.040663082890152,1.089467646349451,19.78191007734006,0.377626827934809,9.001894894482671,7.3984914944288755,1.7146542540148522,1.3408264135088903,0.8559290192837515,0.14214902359669415,0.8846867083974657,0.11476734563198007,0.0675449449907961,22,outputfiles/ogle_chips/src/Huston2025_l-0.466_b-1.880.h5,outputfiles/ogle_chips/lens/Huston2025_l-0.466_b-1.880.h5,0.0006248939474963329,0.00035073785763945484
-0.545,-1.748,4143,4338,1.7567286599099483e-07,1.942240668560054e-09,2.702969357492568e-06,6.5562161009490385,0.28413298263657,223.2936242900842,3.108217068020554e-05,20.220883587451556,1.1138730975435056,25.7773230422314,0.39567554145803174,8.84849897889814,7.29974836874898,1.5566429450897783,1.3323270830513148,0.8209624766956728,0.17866031602831506,0.8884067961230943,0.110771753192352,0.05744354003733543,23,outputfiles/ogle_chips/src/Huston2025_l-0.545_b-1.748.h5,outputfiles/ogle_chips/lens/Huston2025_l-0.545_b-1.748.h5,0.0002894452977590765,0.00011814236842106611
-0.623,-1.616,4083,4099,2.2824983264618076e-07,1.7908458109260597e-09,2.250028028258653e-06,6.6164283841669045,0.2607783241419764,151.32514397753707,2.7770739745865424e-05,18.83956310663249,1.0996989201172758,20.843323708973667,0.38930562504991345,9.080713514446831,7.313953923726431,2.0496633940802655,1.4491402759537917,0.8240244778979152,0.17460509176915573,0.8398390863153047,0.15865537222423748,0.07039102713760452,24,outputfiles/ogle_chips/src/Huston2025_l-0.623_b-1.616.h5,outputfiles/ogle_chips/lens/Huston2025_l-0.623_b-1.616.h5,0.0008186564440429435,0.000327423238121619
-0.702,-1.484,3817,4377,5.053602994261495e-07,1.747590137316347e-09,2.3696824422038203e-06,6.58480496041581,0.28223207053880217,61.2737202833577,2.6631674600495267e-05,20.690072979744734,1.1287551567396765,23.797746836959572,0.4010013906699947,9.323293097337388,7.397736083265423,2.2168614942142613,1.4433539011982837,0.8402579009140099,0.15791887639192906,0.8041980911510319,0.19494924490945498,0.059181117582543165,25,outputfiles/ogle_chips/src/Huston2025_l-0.702_b-1.484.h5,outputfiles/ogle_chips/lens/Huston2025_l-0.702_b-1.484.h5,0.0012513233036998864,0.0008150825380775744
0.119,-2.241,4013,3958,6.540136002820633e-08,2.3540834201116836e-09,2.1904078547799756e-06,6.552754636204109,0.2488096580697871,518.554164693577,2.7743229294719905e-05,18.35854779345063,1.0952198579158627,20.834028168911054,0.37558037934146876,8.865683878185452,7.397332672918645,1.3733559645664783,1.1800504535916456,0.8835826721544103,0.11602995579909155,0.9177128462142531,0.08153988410719007,0.06715840931066548,26,outputfiles/ogle_chips/src/Huston2025_l0.119_b-2.241.h5,outputfiles/ogle_chips/lens/Huston2025_l0.119_b-2.241.h5,0.0,7.56356189470939e-05
0.041,-2.108,3274,4410,6.518812783435563e-08,2.379062048534194e-09,2.4636549813064683e-06,6.726126906960735,0.2577078002013273,481.2793947402696,3.145809116506343e-05,18.21033220516831,1.0972460482507864,19.530973659295945,0.3745166731091215,8.850968406519737,7.319225225275976,1.4422476744756791,1.3170675409727386,0.8487868289550018,0.15061094877785824,0.9054263273256414,0.09380700940380267,0.06596105067188991,27,outputfiles/ogle_chips/src/Huston2025_l0.041_b-2.108.h5,outputfiles/ogle_chips/lens/Huston2025_l0.041_b-2.108.h5,0.0,0.0003268814020220926
-0.037,-1.975,5383,4267,7.962699353224562e-08,2.1579098017690436e-09,2.8399691083703373e-06,6.673554519323248,0.27802930756592403,689.9103759290514,3.3502242665401085e-05,19.711064706391216,1.112636048686612,22.558146743272513,0.3932235165760752,8.980261026808428,7.3120882851031554,1.63288397720619,1.3861353831120609,0.8315536619783771,0.1629818734036524,0.8873660184910528,0.11123661321457153,0.06517029941195934,28,outputfiles/ogle_chips/src/Huston2025_l-0.037_b-1.975.h5,outputfiles/ogle_chips/lens/Huston2025_l-0.037_b-1.975.h5,0.0,0.0001788545587039183
-0.115,-1.843,3992,4141,8.12110041151365e-08,2.022659667383745e-09,2.7672703171997536e-06,6.802501315809832,0.27635134311063664,509.2751493594486,3.401121112706137e-05,18.919072218056126,1.0993446284261212,21.722097007291786,0.3864625175830659,8.812807372377403,7.1919310115935335,1.26020605028077,1.5655394770256583,0.8137829806293427,0.18502613814853883,0.9018516026580583,0.09780438791065815,0.06918778424362379,29,outputfiles/ogle_chips/src/Huston2025_l-0.115_b-1.843.h5,outputfiles/ogle_chips/lens/Huston2025_l-0.115_b-1.843.h5,0.000695432422467053,0.00030253783682516474
