l,b,mub_median,mub_std
5.0,4.0,-0.32490312,2.679495183817291
5.0,5.0,-0.28249219,2.623639085030855
6.0,-10.0,-0.30821718,2.7818798202679447
6.0,-9.0,-0.341110945,2.7909944084869496
6.0,-8.0,-0.28496481,2.682309585012246
6.0,-7.0,-0.29328187,2.58049439349752
6.0,-6.0,-0.31277102,2.514238144949857
6.0,-5.0,-0.30080182,2.497967743728037
6.0,-4.0,-0.300994935,2.549032404174672
6.0,-3.0,-0.35726261,3.0151284900876254
6.0,-2.0,-0.51474424,2.589876814270956
6.0,-1.0,-0.632426885,4.074245853739769
6.0,0.0,-0.47451235,2.277867546883859
6.0,1.0,-0.4114701,2.2019743643468574
6.0,2.0,-0.348503735,2.630316639730983
6.0,3.0,-0.344204745,2.604541124791576
6.0,4.0,-0.36449285,2.5367032771565836
6.0,5.0,-0.35027003,2.8102551960930837
7.0,-10.0,-0.28198317,2.8699785760764667
7.0,-9.0,-0.321009135,2.753841645807091
7.0,-8.0,-0.283860085,2.6920676058429125
7.0,-7.0,-0.3005228,2.5803091496908945
7.0,-6.0,-0.27825661,2.6084792455756274
7.0,-5.0,-0.273427315,2.520585513693791
7.0,-4.0,-0.2811286,2.4412535739839663
7.0,-3.0,-0.39197981,2.624683313939328
7.0,-2.0,-0.57666965,3.1959950677058186
7.0,-1.0,-0.5517332,2.5397507566352693
7.0,0.0,-0.53817465,2.3202807880161895
7.0,1.0,-0.567977645,2.7453744074070667
7.0,2.0,-0.36084764,2.294111642413151
7.0,3.0,-0.375372325,2.5528957951534057
7.0,4.0,-0.39265035,2.551475750826812
7.0,5.0,-0.33687586,2.544925180409127
8.0,-10.0,-0.34173271,2.812094848425455
8.0,-9.0,-0.35552786,2.9679250067042875
8.0,-8.0,-0.30811328000000004,2.7617355477607646
8.0,-7.0,-0.32149486,2.5153947053679944
8.0,-6.0,-0.28863458,2.5010129853959535
8.0,-5.0,-0.29721057,2.507889076341011
8.0,-4.0,-0.30497648499999996,2.4164513111062824
8.0,-3.0,-0.3363896,2.4371662270899157
8.0,-2.0,-0.4576541,2.7668302462933174
8.0,-1.0,-0.59864345,3.2243523519978514
8.0,0.0,-0.510019495,2.367211554320762
8.0,1.0,-0.55565976,2.671305592758162
8.0,2.0,-0.38754945,2.345726306496293
8.0,3.0,-0.41880207,2.4611364406058294
8.0,4.0,-0.38632107,2.5280561371844943
8.0,5.0,-0.317951315,2.520348744749714
9.0,-10.0,-0.34371857,2.9051356762950236
9.0,-9.0,-0.27724475000000004,2.803334822393308
9.0,-8.0,-0.31998228,2.778415299849897
9.0,-7.0,-0.32076357499999997,2.7218847077718746
9.0,-6.0,-0.35383831,2.5755673692395775
9.0,-5.0,-0.32999637,2.531413807770987
9.0,-4.0,-0.326679675,2.452021290018275
9.0,-3.0,-0.356042715,2.706533047588054
9.0,-2.0,-0.39415635000000004,2.3144940477603444
9.0,-1.0,-0.57441217,2.4023237411000387
9.0,0.0,-0.49121898,2.449647228371205
9.0,1.0,-0.56848139,2.708552713844226
9.0,2.0,-0.42915195500000003,2.5665838879188407
9.0,3.0,-0.45747736,2.681857478911899
9.0,4.0,-0.42738104,2.6456972670672343
9.0,5.0,-0.37318504500000005,2.690101136912953
10.0,-10.0,-0.31509581,2.854686821145965
10.0,-9.0,-0.3234861,2.8770629583013294
10.0,-8.0,-0.318048435,2.6818978701914946
10.0,-7.0,-0.29430729,2.571493350817046
10.0,-6.0,-0.28787209,2.5737500132958164
10.0,-5.0,-0.30157572,2.580743708534733
10.0,-4.0,-0.371941405,2.7094791049295917
10.0,-3.0,-0.34856484,2.3510712343413105
10.0,-2.0,-0.44890423,2.4324397176812846
10.0,-1.0,-0.612939295,3.0606863983136985
10.0,0.0,-0.555585565,2.6865930586812015
10.0,1.0,-0.57342216,2.5278532325495244
10.0,2.0,-0.58039696,2.94186664191317
10.0,3.0,-0.48783673,2.7796408488615456
10.0,4.0,-0.45063465,2.6206220947361265
10.0,5.0,-0.37055769000000005,2.5784210408922004
